facilityName,Sido,Sigungu,eupmyondong,fullAddress,latitude,longitude,phoneNumber,websiteUrl,midTempCode,midWeatherCode,x,y,imgUrl
정동진패러마을,강원도,강릉시,강동면,강원도 강릉시 강동면 정동등명길 7,37.7028899,129.0161989,0507-1311-2601,,11D20501,11D20000,92.0,131.0,https://github.com/user-attachments/assets/37ef33f4-e2c2-4192-9eae-9c19b40b9078
조나단패러글라이딩스쿨 삼척용화점,강원도,삼척시,근덕면,"강원 삼척시 근덕면 삼척로 2240-10 A동 1, 2층 106호",37.3414433,129.2552153,0507-1314-2625,https://www.instagram.com/paragliding_yonghwa/,11D20602,11D20000,98.0,125.0,https://github.com/user-attachments/assets/705785c8-684f-4943-856b-e3469df8d0c4
영월패러글라이딩,강원도,영월군,영월읍,강원도 영월군 영월읍 제방안길 54,37.1801958,128.468312,033-372-1119,https://www.instagram.com/ywpara/,11D10501,11D10000,86.0,119.0,https://github.com/user-attachments/assets/f2a27713-7b9b-4188-a513-be868de74b3b
조나단패러글라이딩스쿨,강원도,평창군,평창읍,강원도 평창군 평창읍 노람들길 209-5,37.3734517,128.4074762,033-333-2625,https://paratv.co.kr/,11D10503,11D10000,84.0,123.0,https://github.com/user-attachments/assets/d1c423fd-3746-4c26-a79c-a74d394f687e
블루호크 패러글라이딩 스쿨,경기도,광명시,가학동,경기 광명시 가학동 68,37.4227012,126.8608306,0507-1335-5392,http://www.bluehawk.kr,11B10103,11B00000,58.0,125.0,https://github.com/user-attachments/assets/db697615-1e4c-4f8a-bfaf-a55a3d4db9cc
패러라이프 패러글라이딩,경기도,구리시,인창동,경기도 구리시 건원대로34번길 27,37.6048326,127.1415788,010-4255-1102,,11B20501,11B00000,62.0,127.0,https://github.com/user-attachments/assets/fd37bed4-161a-4d9a-80b7-14b582738734
미래항공스포츠,경기도,양평군,옥천면,경기도 양평군 옥천면 동막길 49,37.5591849,127.4634566,031-774-8478,https://bestpara.com/,11B20503,11B00000,69.0,125.0,https://github.com/user-attachments/assets/a259a0fd-f7be-4232-94da-9276af699c50
양평패러글라이딩파크,경기도,양평군,옥천면,경기도 양평군 옥천면 신촌길 80,37.5522962,127.459992,031-775-2681,https://www.yppara.co.kr/,11B20503,11B00000,69.0,125.0,https://github.com/user-attachments/assets/2b923410-3db9-4b3a-b983-f54bee6c8fa7
패러러브 패러글라이딩학교 양평활공장,경기도,양평군,옥천면,경기도 양평군 옥천면 신촌길 86,37.5530009,127.4604585,031-774-1022,https://para114.com,11B20503,11B00000,69.0,125.0,https://github.com/user-attachments/assets/1d39826f-5300-4c99-9716-4ac9ac7927d9
송골매패러글라이딩스쿨,경기도,용인시,모현읍,경기도 용인시 처인구 모현읍 초부로 210,37.3146386,127.2640645,0507-1333-3015,http://songgolmae.co.kr/home/,11B20612,11B00000,64.0,119.0,https://github.com/user-attachments/assets/fe90ebda-eaf4-4805-9b53-f27592a22576
스카이 패러글라이딩학교,경기도,용인시,모현읍,경기도 용인시 처인구 모현읍 초부로 196,37.3142501,127.2630102,031-333-0582,https://www.skyparaschool.com/,11B20612,11B00000,64.0,119.0,https://github.com/user-attachments/assets/8108c5a7-c68b-4f36-820a-3e997ccf7878
한북패러글라이딩스킨스쿠버스쿨,경기도,의정부시,녹양동,경기도 의정부시 체육로 90,37.7576523,127.0291445,010-8942-2056,,11B20301,11B00000,61.0,130.0,https://github.com/user-attachments/assets/a2f19dcf-b224-4a63-a492-bc341f833ed3
거제어드벤처패러글라이딩,경상남도,거제시,거제면,경상남도 거제시 거제면 서정1길 63,34.8570634,128.5967021,0507-1423-2346,,11H20403,11H20000,90.0,69.0,https://github.com/user-attachments/assets/b30682d0-54cb-430c-8fc3-ba238ec6eef3
한려항공레저,경상남도,거제시,일운면,경상남도 거제시 일운면 거제대로 2022,34.8102249,128.687766,010-8571-8053,http://oceanpara.com/,11H20403,11H20000,90.0,69.0,https://github.com/user-attachments/assets/5188ab60-ace5-412d-95e6-32aeac0a3dbd
남해패러글라이딩,경상남도,남해군,서면,경남 남해군 서면 남상리 1473-3,34.8498602,127.8112173,0507-1345-5383,https://www.instagram.com/namhae_parago/#,11H20405,11H20000,77.0,68.0,https://github.com/user-attachments/assets/2ee36086-bc04-41ff-a04d-c188fe2cc43f
파라캠프 페러글라이딩학교,경상남도,창원시,팔용동,경상남도 창원시 의창구 의창대로156번길 4,35.2614481,128.6147837,055-252-9440,http://www.paracamp.com,11H20301,11H20000,90.0,70.0,https://github.com/user-attachments/assets/d56234be-3b94-45ba-b615-25f6b50cb07c
합천패러글라이딩파크,경상남도,합천군,초계면,경상남도 합천군 초계면 우회로 179,35.5511886,128.2406889,055-933-6619,http://hcpp.kr/,11H20503,11H20000,81.0,84.0,https://github.com/user-attachments/assets/56b1d1d1-2807-42a1-8eb6-ce7db99c5cb1
