facilityName,sido,sigungu,eupmyondong,fullAddress,latitude,longitude,phoneNumber,websitUrl,예보 지역 코드
정동진패러마을,강원도,강릉시,강동면,강원도 강릉시 강동면 정동등명길 7,37.7028899,129.0161989,0507-1311-2601,https://yspara.com/,
조나단패러글라이딩스쿨 삼척용화점,강원도,삼척시,근덕면,"강원 삼척시 근덕면 삼척로 2240-10 A동 1, 2층 106호",37.3414433,129.2552153,0507-1314-2625,https://cafe.naver.com/para2013,
영월패러글라이딩,강원도,영월군,영월읍,강원도 영월군 영월읍 제방안길 54,37.1801958,128.468312,033-372-1119,http://www.gunsanpschool.com,
조나단패러글라이딩스쿨,강원도,평창군,평창읍,강원도 평창군 평창읍 노람들길 209-5,37.3734517,128.4074762,033-333-2625,http://단양레저.kr,
블루호크 패러글라이딩 스쿨,경기도,광명시,가학동,경기 광명시 가학동 68,37.4227012,126.8608306,0507-1335-5392,https://www.youngpara.com/,
패러라이프 패러글라이딩,경기도,구리시,인창동,경기도 구리시 건원대로34번길 27,37.6048326,127.1415788,010-4255-1102,http://www.danyangpara.com/,
미래항공스포츠,경기도,양평군,옥천면,경기도 양평군 옥천면 동막길 49,37.5591849,127.4634566,031-774-8478,https://smartstore.naver.com/dyprmg/products/2668566280,
양평패러글라이딩파크,경기도,양평군,옥천면,경기도 양평군 옥천면 신촌길 80,37.5522962,127.459992,031-775-2681,http://www.대구활공랜드.com,
패러러브 패러글라이딩학교 양평활공장,경기도,양평군,옥천면,경기도 양평군 옥천면 신촌길 86,37.5530009,127.4604585,031-774-1022,https://cafe.daum.net/works5752,
송골매패러글라이딩스쿨,경기도,용인시 처인구,모현읍,경기도 용인시 처인구 모현읍 초부로 210,37.3146386,127.2640645,0507-1333-3015,https://naver.me/FPnrDpyy,
스카이 패러글라이딩학교,경기도,용인시 처인구,모현읍,경기도 용인시 처인구 모현읍 초부로 196,37.3142501,127.2630102,031-333-0582,https://smartstore.naver.com/dreampara,
